REF_DATE,GEO,DGUID,Age,Gender,Statistics,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
2021,Newfoundland and Labrador,2021A000210,15 years and over,Total - Gender,2021 Counts,433955.0,416115.0,12970.0,3375.0,4865.0
2021,Newfoundland and Labrador,2021A000210,15 years and over,Men+,2021 Counts,211180.0,201840.0,6575.0,1650.0,2765.0
2021,Newfoundland and Labrador,2021A000210,15 years and over,Women+,2021 Counts,222780.0,214280.0,6400.0,1725.0,2100.0
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Total - Gender,2021 Counts,51430.0,48145.0,1265.0,550.0,2015.0
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Men+,2021 Counts,26775.0,24845.0,715.0,315.0,1215.0
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Women+,2021 Counts,24650.0,23300.0,550.0,240.0,800.0
2021,Newfoundland and Labrador,2021A000210,15 to 19 years,Total - Gender,2021 Counts,25825.0,24910.0,635.0,300.0,280.0
2021,Newfoundland and Labrador,2021A000210,15 to 19 years,Men+,2021 Counts,13430.0,12930.0,345.0,170.0,155.0
2021,Newfoundland and Labrador,2021A000210,15 to 19 years,Women+,2021 Counts,12390.0,11980.0,285.0,135.0,120.0
2021,Newfoundland and Labrador,2021A000210,20 to 24 years,Total - Gender,2021 Counts,25610.0,23235.0,635.0,245.0,1740.0
2021,Newfoundland and Labrador,2021A000210,20 to 24 years,Men+,2021 Counts,13345.0,11915.0,370.0,150.0,1055.0
2021,Newfoundland and Labrador,2021A000210,20 to 24 years,Women+,2021 Counts,12265.0,11320.0,260.0,100.0,685.0
2021,Newfoundland and Labrador,2021A000210,25 to 64 years,Total - Gender,2021 Counts,267785.0,256430.0,8530.0,2740.0,2830.0
2021,Newfoundland and Labrador,2021A000210,25 to 64 years,Men+,2021 Counts,129445.0,123815.0,4085.0,1285.0,1540.0
2021,Newfoundland and Labrador,2021A000210,25 to 64 years,Women+,2021 Counts,138340.0,132610.0,4440.0,1450.0,1290.0
2021,Newfoundland and Labrador,2021A000210,25 to 54 years,Total - Gender,2021 Counts,183840.0,174435.0,6625.0,2610.0,2780.0
2021,Newfoundland and Labrador,2021A000210,25 to 54 years,Men+,2021 Counts,88785.0,84075.0,3215.0,1225.0,1495.0
2021,Newfoundland and Labrador,2021A000210,25 to 54 years,Women+,2021 Counts,95055.0,90355.0,3415.0,1385.0,1280.0
2021,Newfoundland and Labrador,2021A000210,25 to 34 years,Total - Gender,2021 Counts,52050.0,48205.0,2020.0,1210.0,1835.0
2021,Newfoundland and Labrador,2021A000210,25 to 34 years,Men+,2021 Counts,25705.0,23765.0,940.0,525.0,1000.0
2021,Newfoundland and Labrador,2021A000210,25 to 34 years,Women+,2021 Counts,26340.0,24440.0,1075.0,685.0,830.0
2021,Newfoundland and Labrador,2021A000210,35 to 44 years,Total - Gender,2021 Counts,59840.0,56470.0,2645.0,1070.0,725.0
2021,Newfoundland and Labrador,2021A000210,35 to 44 years,Men+,2021 Counts,28525.0,26795.0,1330.0,530.0,395.0
2021,Newfoundland and Labrador,2021A000210,35 to 44 years,Women+,2021 Counts,31315.0,29670.0,1315.0,535.0,325.0
2021,Newfoundland and Labrador,2021A000210,45 to 54 years,Total - Gender,2021 Counts,71950.0,69760.0,1965.0,325.0,225.0
2021,Newfoundland and Labrador,2021A000210,45 to 54 years,Men+,2021 Counts,34550.0,33515.0,945.0,165.0,100.0
2021,Newfoundland and Labrador,2021A000210,45 to 54 years,Women+,2021 Counts,37400.0,36245.0,1020.0,160.0,125.0
2021,Newfoundland and Labrador,2021A000210,55 to 64 years,Total - Gender,2021 Counts,83945.0,81995.0,1900.0,135.0,45.0
2021,Newfoundland and Labrador,2021A000210,55 to 64 years,Men+,2021 Counts,40660.0,39745.0,875.0,65.0,40.0
2021,Newfoundland and Labrador,2021A000210,55 to 64 years,Women+,2021 Counts,43290.0,42255.0,1030.0,70.0,10.0
2021,Newfoundland and Labrador,2021A000210,65 years and over,Total - Gender,2021 Counts,114745.0,111540.0,3180.0,80.0,20.0
2021,Newfoundland and Labrador,2021A000210,65 years and over,Men+,2021 Counts,54960.0,53175.0,1770.0,50.0,10.0
2021,Newfoundland and Labrador,2021A000210,65 years and over,Women+,2021 Counts,59785.0,58365.0,1410.0,30.0,10.0
2021,Newfoundland and Labrador,2021A000210,65 to 74 years,Total - Gender,2021 Counts,73705.0,71940.0,1745.0,70.0,15.0
2021,Newfoundland and Labrador,2021A000210,65 to 74 years,Men+,2021 Counts,36040.0,35045.0,990.0,35.0,10.0
2021,Newfoundland and Labrador,2021A000210,65 to 74 years,Women+,2021 Counts,37660.0,36895.0,755.0,30.0,10.0
2021,Newfoundland and Labrador,2021A000210,75 years and over,Total - Gender,2021 Counts,41040.0,39595.0,1435.0,10.0,0.0
2021,Newfoundland and Labrador,2021A000210,75 years and over,Men+,2021 Counts,18915.0,18130.0,785.0,10.0,0.0
2021,Newfoundland and Labrador,2021A000210,75 years and over,Women+,2021 Counts,22125.0,21470.0,655.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,Total - Age,Total - Gender,2021 Counts,28975.0,28155.0,660.0,170.0,160.0
2021,"Corner Brook (CA), N.L.",2021S0504015,Total - Age,Men+,2021 Counts,14060.0,13615.0,355.0,90.0,90.0
2021,"Corner Brook (CA), N.L.",2021S0504015,Total - Age,Women+,2021 Counts,14920.0,14540.0,305.0,80.0,70.0
2021,"Corner Brook (CA), N.L.",2021S0504015,0 to 14 years,Total - Gender,2021 Counts,3740.0,3690.0,35.0,30.0,15.0
2021,"Corner Brook (CA), N.L.",2021S0504015,0 to 14 years,Men+,2021 Counts,1975.0,1945.0,25.0,25.0,10.0
2021,"Corner Brook (CA), N.L.",2021S0504015,0 to 14 years,Women+,2021 Counts,1765.0,1750.0,10.0,10.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 years and over,Total - Gender,2021 Counts,25235.0,24465.0,630.0,140.0,145.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 years and over,Men+,2021 Counts,12085.0,11675.0,335.0,70.0,80.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 years and over,Women+,2021 Counts,13150.0,12795.0,300.0,75.0,65.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 to 24 years,Total - Gender,2021 Counts,3150.0,3005.0,70.0,20.0,70.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 to 24 years,Men+,2021 Counts,1570.0,1485.0,40.0,15.0,40.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 to 24 years,Women+,2021 Counts,1580.0,1520.0,30.0,10.0,30.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 to 19 years,Total - Gender,2021 Counts,1565.0,1520.0,35.0,20.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 to 19 years,Men+,2021 Counts,780.0,750.0,20.0,15.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,15 to 19 years,Women+,2021 Counts,785.0,770.0,15.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,20 to 24 years,Total - Gender,2021 Counts,1585.0,1480.0,35.0,0.0,70.0
2021,"Corner Brook (CA), N.L.",2021S0504015,20 to 24 years,Men+,2021 Counts,785.0,735.0,15.0,0.0,40.0
