GEO,DGUID,Age,Gender,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
"Medicine Hat (CA), Alta.",2021S0504805,Total - Age,Total - Gender,74585.0,66665.0,7225.0,1495.0,700.0
"Okotoks (CA), Alta.",2021S0504820,Total - Age,Total - Gender,30020.0,25925.0,3990.0,635.0,100.0
"Red Deer (CMA), Alta.",2021S0503830,Total - Age,Total - Gender,98045.0,80665.0,16540.0,3925.0,840.0
"Strathmore (CA), Alta.",2021S0504826,Total - Age,Total - Gender,14105.0,12730.0,1250.0,240.0,130.0
"Sylvan Lake (CA), Alta.",2021S0504831,Total - Age,Total - Gender,16435.0,15285.0,1070.0,190.0,80.0
"Wetaskiwin (CA), Alta.",2021S0504865,Total - Age,Total - Gender,12115.0,10420.0,1595.0,335.0,100.0
"Wood Buffalo (CA), Alta.",2021S0504860,Total - Age,Total - Gender,73290.0,57005.0,15425.0,4140.0,865.0
British Columbia,2021A000259,Total - Age,Total - Gender,4915940.0,3319230.0,1425715.0,197420.0,171000.0
"Abbotsford - Mission (CMA), B.C.",2021S0503932,Total - Age,Total - Gender,192115.0,136195.0,50085.0,6845.0,5840.0
"Campbell River (CA), B.C.",2021S0504944,Total - Age,Total - Gender,39935.0,35600.0,4105.0,420.0,230.0
"Chilliwack (CMA), B.C.",2021S0503930,Total - Age,Total - Gender,111560.0,94570.0,16195.0,1695.0,795.0
"Courtenay (CA), B.C.",2021S0504943,Total - Age,Total - Gender,62030.0,53470.0,8005.0,700.0,550.0
"Cranbrook (CA), B.C.",2021S0504905,Total - Age,Total - Gender,26295.0,23590.0,2325.0,335.0,385.0
"Dawson Creek (CA), B.C.",2021S0504975,Total - Age,Total - Gender,17380.0,15415.0,1520.0,430.0,445.0
"Duncan (CA), B.C.",2021S0504937,Total - Age,Total - Gender,46435.0,40330.0,5835.0,550.0,275.0
"Fort St. John (CA), B.C.",2021S0504977,Total - Age,Total - Gender,28430.0,24685.0,3025.0,930.0,720.0
"Kamloops (CMA), B.C.",2021S0503925,Total - Age,Total - Gender,110545.0,96970.0,10820.0,1485.0,2750.0
"Kelowna (CMA), B.C.",2021S0503915,Total - Age,Total - Gender,218525.0,182660.0,31575.0,4295.0,4290.0
"Ladysmith (CA), B.C.",2021S0504936,Total - Age,Total - Gender,15235.0,13440.0,1710.0,60.0,80.0
"Nanaimo (CMA), B.C.",2021S0503938,Total - Age,Total - Gender,112410.0,93330.0,17195.0,2355.0,1885.0
"Nelson (CA), B.C.",2021S0504907,Total - Age,Total - Gender,18715.0,15725.0,2565.0,450.0,425.0
"Parksville (CA), B.C.",2021S0504939,Total - Age,Total - Gender,30015.0,24565.0,5325.0,240.0,125.0
"Penticton (CA), B.C.",2021S0504913,Total - Age,Total - Gender,46155.0,39620.0,6135.0,555.0,400.0
"Port Alberni (CA), B.C.",2021S0504940,Total - Age,Total - Gender,25380.0,22910.0,2360.0,170.0,105.0
"Powell River (CA), B.C.",2021S0504945,Total - Age,Total - Gender,17465.0,15090.0,2275.0,235.0,100.0
"Prince George (CA), B.C.",2021S0504970,Total - Age,Total - Gender,87915.0,77685.0,8495.0,1465.0,1730.0
"Prince Rupert (CA), B.C.",2021S0504955,Total - Age,Total - Gender,13295.0,11380.0,1620.0,255.0,295.0
"Quesnel (CA), B.C.",2021S0504952,Total - Age,Total - Gender,22900.0,21145.0,1650.0,145.0,105.0
"Salmon Arm (CA), B.C.",2021S0504920,Total - Age,Total - Gender,18890.0,16855.0,1915.0,255.0,125.0
"Squamish (CA), B.C.",2021S0504934,Total - Age,Total - Gender,23955.0,18495.0,4775.0,985.0,685.0
"Terrace (CA), B.C.",2021S0504965,Total - Age,Total - Gender,19515.0,17440.0,1635.0,175.0,440.0
"Trail (CA), B.C.",2021S0504910,Total - Age,Total - Gender,13860.0,12575.0,1080.0,110.0,210.0
"Vancouver (CMA), B.C.",2021S0503933,Total - Age,Total - Gender,2607015.0,1384550.0,1089180.0,154820.0,133275.0
"Vernon (CA), B.C.",2021S0504918,Total - Age,Total - Gender,65325.0,56990.0,7820.0,760.0,510.0
"Victoria (CMA), B.C.",2021S0503935,Total - Age,Total - Gender,388470.0,306395.0,73345.0,10080.0,8730.0
"Williams Lake (CA), B.C.",2021S0504950,Total - Age,Total - Gender,23340.0,21160.0,1985.0,270.0,190.0
Yukon,2021A000260,Total - Age,Total - Gender,39585.0,33280.0,5385.0,1125.0,925.0
"Whitehorse (CA), Y.T.",2021S0504990,Total - Age,Total - Gender,31420.0,25940.0,4630.0,1035.0,855.0
Northwest Territories,2021A000261,Total - Age,Total - Gender,40380.0,35825.0,4145.0,810.0,410.0
"Yellowknife (CA), N.W.T.",2021S0504995,Total - Age,Total - Gender,19910.0,16300.0,3260.0,625.0,345.0
Nunavut,2021A000262,Total - Age,Total - Gender,36600.0,35360.0,1165.0,240.0,75.0
