REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]"
2021,Stawamus 24,2021A00055931807,5206,0.26
2021,Duff,2021A00054705068,3328,0.27
2021,Mission 1,2021A00055915807,4970,0.28
2021,Dorintosh,2021A00054717055,4013,0.28
2021,Yellowstone,2021A00054813007,4452,0.28
2021,Fishtrap 19,2021A00055941871,4715,0.28
2021,Matsqui 4,2021A00055915825,4967,0.28
2021,Kapawe'no First Nation 150B,2021A00054817836,4503,0.29
2021,Birch Cove,2021A00054813013,4422,0.29
2021,Union Bay 4,2021A00055917802,4673,0.29
2021,Val Quentin,2021A00054813005,4444,0.29
2021,Fountain 12,2021A00055931820,5179,0.3
2021,Sturgeon Weir 205,2021A00054718815,4115,0.31
2021,Q'alatkú7em,2021A00055909875,4907,0.31
2021,Guhthe Tah 12,2021A00055949843,4997,0.31
2021,Katzie 2,2021A00055915813,4962,0.31
2021,Squaam 2,2021A00055933889,5327,0.31
2021,Yarmouth 33,2021A00051202040,601,0.31
2021,Est-Patrolas 4,2021A00055919820,4830,0.32
2021,Pic Mobert South,2021A00053558061,2823,0.32
2021,Lakeview,2021A00054811042,4357,0.32
2021,Gwayasdums 1,2021A00055943808,5043,0.32
2021,Kapasiwin,2021A00054811044,4356,0.33
2021,Squaw-Hay-One 11,2021A00055919802,4843,0.33
2021,Winneway,2021A00052485804,2220,0.33
2021,Theik 2,2021A00055919818,4844,0.34
2021,Salt Plains 195,2021A00056105004,5429,0.35
2021,Glen Harbour,2021A00054706080,3417,0.35
2021,Denholm,2021A00054716002,3961,0.35
2021,Silverton,2021A00055903027,4775,0.35
2021,Sachteen,2021A00055909883,4909,0.35
2021,Edberg,2021A00054810006,4311,0.35
2021,Priest's Valley 6,2021A00055937803,5089,0.36
2021,Lac-Rapide,2021A00052483804,1452,0.36
2021,Necait 6,2021A00055931826,5191,0.37
2021,Dakota Tipi 1,2021A00054609027,2979,0.37
2021,West End,2021A00054705050,3377,0.37
2021,Saddle Rock 9,2021A00055909809,4910,0.37
2021,Alida,2021A00054701041,3158,0.38
2021,Bucktum 4,2021A00055909847,4875,0.38
2021,Alexis Creek 16,2021A00055941818,4680,0.38
2021,Buctouche 16,2021A00051308003,685,0.38
2021,Dog Head 218,2021A00054816852,4474,0.38
2021,Uncha Lake 13A,2021A00055951826,4643,0.38
2021,Whonnock 1,2021A00055915840,4987,0.39
2021,Indian Island 28,2021A00051308020,691,0.4
2021,Boston Bar 1A,2021A00055909836,4874,0.4
2021,Kenosee Lake,2021A00054701079,3182,0.4
2021,Tuckkwiowhum 1,2021A00055909817,4930,0.4
2021,Shingle Point 4,2021A00055919811,4842,0.4
2021,Love,2021A00054714091,3839,0.4
2021,Treaty Four Reserve Grounds 77,2021A00054706829,3471,0.4
2021,Lakahahmen 11,2021A00055909880,4897,0.4
2021,Fox Lake 2,2021A00054623027,3145,0.41
2021,Waiparous,2021A00054815030,4471,0.41
2021,Ahahswinis 1,2021A00055923801,4570,0.41
2021,Codette,2021A00054714074,3831,0.41
2021,Hyas,2021A00054709071,3586,0.41
2021,Big Island Mainland 93,2021A00053559052,2711,0.42
2021,Saint-Louis-de-Gonzague-du-Cap-Tourmente,2021A00052421015,1285,0.42
2021,Bradwell,2021A00054711071,3680,0.42
2021,Katzie 1,2021A00055915830,4961,0.42
2021,Dead Point 5,2021A00055943807,5041,0.42
2021,Sundance Beach,2021A00054811020,4379,0.43
2021,Alvena,2021A00054715038,3876,0.43
2021,Macoah 1,2021A00055923810,4585,0.43
2021,Cowichan Lake,2021A00055919812,4819,0.43
2021,Val Marie,2021A00054704002,3312,0.43
2021,Nakamun Park,2021A00054813003,4433,0.43
2021,Wallace Hills 14A,2021A00051209800,535,0.44
2021,South View,2021A00054813015,4439,0.44
2021,Pennal 19,2021A00051206014,565,0.44
2021,Storthoaks,2021A00054701044,3206,0.45
