DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,  0 to 14 years,  15 to 64 years,  65 years and over
2021A00055917047,Census subdivision,2021,View Royal,1615,7320,2330
2021A00055917052,Census subdivision,2021,Sooke,2400,9585,2995
2021A00055919008,Census subdivision,2021,North Cowichan,4415,18075,8935
2021A00055921007,Census subdivision,2021,Nanaimo,14110,60415,22490
2021A00055921018,Census subdivision,2021,Parksville,1255,6200,5850
2021A00055923008,Census subdivision,2021,Port Alberni,2580,10610,4780
2021A00055924034,Census subdivision,2021,Campbell River,5175,20950,8755
2021A00055926005,Census subdivision,2021,Comox,2050,7915,4370
2021A00055926010,Census subdivision,2021,Courtenay,3835,16380,7600
2021A00055927008,Census subdivision,2021,Powell River,1745,7915,3975
2021A00055929011,Census subdivision,2021,Sechelt,1280,5490,3845
2021A00055931006,Census subdivision,2021,Squamish,4450,16460,2635
2021A00055931020,Census subdivision,2021,Whistler,1540,10695,1195
2021A00055933042,Census subdivision,2021,Kamloops,14785,62105,17670
2021A00055935010,Census subdivision,2021,Kelowna,19580,93280,28895
2021A00055935016,Census subdivision,2021,Lake Country,2565,10180,2885
2021A00055935029,Census subdivision,2021,West Kelowna,5875,22455,7415
2021A00055937010,Census subdivision,2021,Coldstream,1815,6810,2370
2021A00055937014,Census subdivision,2021,Vernon,6025,25705,11380
2021A00055939032,Census subdivision,2021,Salmon Arm,2810,10600,5215
2021A00055941009,Census subdivision,2021,Williams Lake,1840,6840,2030
2021A00055947012,Census subdivision,2021,Prince Rupert,2100,8160,1915
2021A00055949011,Census subdivision,2021,Terrace,2200,7670,1955
2021A00055953023,Census subdivision,2021,Prince George,12865,50415,11870
2021A00055955014,Census subdivision,2021,Dawson Creek,2315,8170,1585
2021A00055955034,Census subdivision,2021,Fort St. John,4575,14995,1600
2021A00056001009,Census subdivision,2021,Whitehorse,4940,19235,3545
2021A00056106023,Census subdivision,2021,Yellowknife,4120,14340,1450
2021C30051099999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Newfoundland and Labrador",35770,170020,73015
2021C30051199999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Prince Edward Island",14055,54440,17995
2021C30051299999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Nova Scotia",34575,150790,66645
2021C30051399999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, New Brunswick",57615,250375,95100
2021C30052499999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Quebec",303915,1088590,393330
2021C30053599999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Ontario",159050,596790,228880
2021C30054699999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Manitoba",86685,232330,67160
2021C30054799999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Saskatchewan",94010,268710,86160
2021C30054899999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Alberta",122490,371040,101815
2021C30055999999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, British Columbia",112680,467790,202950
2021C30056099999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Yukon",1865,7790,2205
2021C30056199999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Northwest Territories",4350,13725,2400
