DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,TOTAL_GENDER (1),CHARACTERISTIC_NAME,AGE
2021A00051210006,Census subdivision,2021,Truro,7710,  15 to 64 years,Total - Age
2021A00051210006,Census subdivision,2021,Truro,3060,  65 years and over,Total - Age
2021A00051210008,Census subdivision,2021,"Colchester, Subd. B",2880,  0 to 14 years,Total - Age
2021A00051210008,Census subdivision,2021,"Colchester, Subd. B",12020,  15 to 64 years,Total - Age
2021A00051210008,Census subdivision,2021,"Colchester, Subd. B",4720,  65 years and over,Total - Age
2021A00051217030,Census subdivision,2021,Cape Breton,11760,  0 to 14 years,Total - Age
2021A00051217030,Census subdivision,2021,Cape Breton,56465,  15 to 64 years,Total - Age
2021A00051217030,Census subdivision,2021,Cape Breton,23795,  65 years and over,Total - Age
2021C30051299999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Nova Scotia",34575,  0 to 14 years,Total - Age
2021C30051299999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Nova Scotia",150790,  15 to 64 years,Total - Age
2021C30051299999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Nova Scotia",66645,  65 years and over,Total - Age
2021A00051301006,Census subdivision,2021,Saint John,10150,  0 to 14 years,Total - Age
2021A00051301006,Census subdivision,2021,Saint John,44620,  15 to 64 years,Total - Age
2021A00051301006,Census subdivision,2021,Saint John,13410,  65 years and over,Total - Age
2021A00051305045,Census subdivision,2021,Rothesay,1875,  0 to 14 years,Total - Age
2021A00051305045,Census subdivision,2021,Rothesay,7515,  15 to 64 years,Total - Age
2021A00051305045,Census subdivision,2021,Rothesay,2525,  65 years and over,Total - Age
2021A00051305057,Census subdivision,2021,Quispamsis,3425,  0 to 14 years,Total - Age
2021A00051305057,Census subdivision,2021,Quispamsis,11890,  15 to 64 years,Total - Age
2021A00051305057,Census subdivision,2021,Quispamsis,3165,  65 years and over,Total - Age
2021A00051306020,Census subdivision,2021,Riverview,3120,  0 to 14 years,Total - Age
2021A00051306020,Census subdivision,2021,Riverview,12905,  15 to 64 years,Total - Age
2021A00051306020,Census subdivision,2021,Riverview,4270,  65 years and over,Total - Age
