DGUID,GEO,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021"
2021A000011124,Canada,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0
2021A00051001101,"Division No.  1, Subd. V",870.89,4482.0,0.1,52.8,36.0,55.0,52.6,19.0,29.0,346.0,-48.6,140.0,72.0
2021A00051001105,Portugal Cove South,1.08,4321.0,79.9,-42.7,150.0,86.0,-31.9,69.0,47.0,332.0,-6.6,91.0,85.0
2021A00051001113,Trepassey,54.21,3162.0,7.5,-15.8,481.0,405.0,-8.6,245.0,224.0,181.0,-16.0,356.0,299.0
2021A00051001120,St. Shott's,1.07,4482.0,51.3,-16.7,66.0,55.0,-10.5,38.0,34.0,346.0,-3.8,52.0,50.0
2021A00051001124,"Division No.  1, Subd. U",742.38,1762.0,1.8,-15.5,1625.0,1373.0,-9.9,697.0,628.0,62.0,-19.0,1630.0,1320.0
2021A00051001126,Cape Broyle,10.09,2944.0,49.5,2.0,489.0,499.0,8.1,211.0,228.0,160.0,7.9,291.0,314.0
2021A00051001131,Renews-Cappahayden,125.93,3581.0,2.2,-7.0,301.0,280.0,-3.4,148.0,143.0,229.0,-25.1,346.0,259.0
2021A00051001136,Fermeuse,38.33,3624.0,6.9,-18.2,325.0,266.0,-6.0,134.0,126.0,234.0,-3.9,178.0,171.0
2021A00051001140,Port Kirwan,8.84,4516.0,5.5,-5.8,52.0,49.0,11.1,27.0,30.0,353.0,-17.2,64.0,53.0
2021A00051001144,Aquaforte,6.88,4387.0,10.7,-7.5,80.0,74.0,4.9,41.0,43.0,339.0,-11.3,71.0,63.0
2021A00051001149,Ferryland,13.22,3277.0,28.1,-10.4,414.0,371.0,0.5,190.0,191.0,193.0,-0.8,254.0,252.0
2021A00051001155,"Division No.  1, Subd. W",821.97,3011.0,0.6,7.8,435.0,469.0,13.6,214.0,243.0,164.0,-10.2,893.0,802.0
2021A00051001169,St. Vincent's-St. Stephen's-Peter's River,86.62,3634.0,3.0,-16.0,313.0,263.0,-9.0,156.0,142.0,236.0,-6.3,221.0,207.0
2021A00051001174,Gaskiers-Point La Haye,23.29,3892.0,8.1,-18.5,232.0,189.0,-11.9,118.0,104.0,267.0,-11.7,145.0,128.0
2021A00051001178,St. Mary's,36.41,3465.0,8.6,-9.8,347.0,313.0,-7.1,170.0,158.0,215.0,-6.5,216.0,202.0
2021A00051001181,Riverhead,101.84,3991.0,1.6,-10.8,185.0,165.0,4.8,83.0,87.0,287.0,-16.3,153.0,128.0
2021A00051001186,Admirals Beach,24.2,4267.0,4.0,-28.1,135.0,97.0,-22.6,62.0,48.0,325.0,-5.0,80.0,76.0
2021A00051001192,St. Joseph's,29.22,4321.0,2.9,-25.2,115.0,86.0,-22.4,58.0,45.0,332.0,-30.7,114.0,79.0
2021A00051001197,Mount Carmel-Mitchells Brook-St. Catherine's,60.76,3237.0,6.3,9.5,349.0,382.0,24.5,163.0,203.0,190.0,27.5,302.0,385.0
2021A00051001203,"Division No.  1, Subd. X",567.62,2842.0,1.0,5.5,513.0,541.0,10.6,235.0,260.0,146.0,-2.1,754.0,738.0
2021A00051001207,Colinet,6.01,4239.0,17.1,28.8,80.0,103.0,38.5,39.0,54.0,317.0,11.0,73.0,81.0
2021A00051001214,"Division No.  1, Subd. C",815.64,4228.0,0.1,6.0,100.0,106.0,13.5,52.0,59.0,316.0,0.0,140.0,140.0
2021A00051001219,Branch,16.18,3944.0,10.9,-22.4,228.0,177.0,-11.1,108.0,96.0,278.0,-18.4,174.0,142.0
2021A00051001225,Point Lance,28.29,4317.0,3.1,-14.7,102.0,87.0,-4.8,42.0,40.0,330.0,0.0,48.0,48.0
2021A00051001228,St. Bride's,5.38,3450.0,59.1,26.2,252.0,318.0,29.7,128.0,166.0,211.0,20.7,169.0,204.0
2021A00051001234,"Division No.  1, Subd. B",454.34,3323.0,0.8,-1.1,360.0,356.0,9.6,166.0,182.0,198.0,0.8,380.0,383.0
2021A00051001240,Placentia,57.8,976.0,56.9,-5.9,3496.0,3289.0,-1.0,1559.0,1543.0,20.0,-1.3,1852.0,1827.0
2021A00051001254,Fox Harbour,19.81,3764.0,11.4,-10.3,252.0,226.0,-1.7,116.0,114.0,253.0,2.3,133.0,136.0
2021A00051001259,"Division No.  1, Subd. A",772.38,2611.0,0.8,-2.0,666.0,653.0,1.3,320.0,324.0,116.0,-16.0,669.0,562.0
2021A00051001263,Long Harbour-Mount Arlington Heights,18.33,3908.0,10.1,-26.0,250.0,185.0,-17.1,117.0,97.0,271.0,-15.7,198.0,167.0
2021A00051001267,Southern Harbour,5.39,3465.0,58.1,-20.8,395.0,313.0,-12.1,173.0,152.0,215.0,-1.9,213.0,209.0
2021A00051001270,Arnold's Cove,5.25,2155.0,183.8,1.6,949.0,964.0,10.7,392.0,434.0,79.0,1.9,537.0,547.0
2021A00051001274,Come By Chance,39.55,3844.0,5.3,-8.8,228.0,208.0,-5.3,95.0,90.0,259.0,-13.6,125.0,108.0
2021A00051001277,Sunnyside,39.02,3161.0,10.4,2.8,396.0,407.0,7.4,176.0,189.0,180.0,-5.2,286.0,271.0
2021A00051001281,Chance Cove,18.14,3819.0,11.7,-16.8,256.0,213.0,-9.8,123.0,111.0,257.0,-14.0,150.0,129.0
2021A00051001285,Norman's Cove-Long Cove,20.15,2626.0,32.1,-2.9,666.0,647.0,3.6,281.0,291.0,118.0,0.9,339.0,342.0
2021A00051001289,Chapel Arm,28.08,3056.0,15.9,-2.4,457.0,446.0,6.3,192.0,204.0,166.0,-1.2,244.0,241.0
2021A00051001293,"Division No.  1, Subd. Y",190.76,1882.0,6.3,8.3,1118.0,1211.0,12.9,473.0,534.0,68.0,11.0,857.0,951.0
2021A00051001298,Whitbourne,21.51,2171.0,44.4,7.3,890.0,955.0,11.4,376.0,419.0,80.0,10.8,527.0,584.0
2021A00051001304,"Division No.  1, Subd. E",218.85,1090.0,13.0,-3.7,2943.0,2835.0,2.2,1229.0,1256.0,25.0,0.1,1575.0,1576.0
2021A00051001308,Whiteway,22.53,3339.0,15.6,-5.9,373.0,351.0,0.7,135.0,136.0,201.0,5.5,165.0,174.0
2021A00051001312,Heart's Delight-Islington,26.95,2631.0,24.0,-4.2,674.0,646.0,2.6,307.0,315.0,119.0,10.1,388.0,427.0
2021A00051001316,Heart's Desire,17.02,3912.0,10.8,-13.6,213.0,184.0,-8.3,96.0,88.0,273.0,-1.6,124.0,122.0
2021A00051001321,"Division No.  1, Subd. F",173.02,2852.0,3.1,-1.6,548.0,539.0,1.3,240.0,243.0,148.0,-3.1,352.0,341.0
2021A00051001325,Heart's Content,62.87,3415.0,5.2,-2.9,340.0,330.0,3.7,162.0,168.0,207.0,3.7,217.0,225.0
2021A00051001328,New Perlican,24.45,3866.0,8.2,7.5,186.0,200.0,12.6,95.0,107.0,264.0,6.1,163.0,173.0
2021A00051001332,Winterton,10.61,3089.0,41.1,-3.1,450.0,436.0,3.6,197.0,204.0,171.0,3.6,277.0,287.0
2021A00051001335,Hant's Harbour,31.86,3450.0,10.0,-3.3,329.0,318.0,1.9,155.0,158.0,211.0,3.3,210.0,217.0
2021A00051001339,"Division No.  1, Subd. G",302.69,1551.0,5.5,-10.3,1866.0,1673.0,-2.2,855.0,836.0,49.0,1.1,1337.0,1352.0
2021A00051001343,Old Perlican,14.14,2700.0,43.0,-3.9,633.0,608.0,6.3,238.0,253.0,123.0,9.7,288.0,316.0
2021A00051001347,Bay de Verde,13.24,3358.0,26.2,-11.5,392.0,347.0,-9.2,173.0,157.0,203.0,-7.4,216.0,200.0
2021A00051001352,Small Point-Adam's Cove-Blackhead-Broad Cove,23.12,3128.0,17.9,7.0,387.0,414.0,17.0,171.0,200.0,175.0,6.2,308.0,327.0
2021A00051001357,"Division No.  1, Subd. H",57.2,3421.0,5.7,-15.9,390.0,328.0,1.2,161.0,163.0,208.0,11.9,227.0,254.0
2021A00051001361,Salmon Cove,4.21,2416.0,181.6,12.4,680.0,764.0,23.2,276.0,340.0,98.0,19.5,329.0,393.0
2021A00051001365,Victoria,17.96,1562.0,92.3,-7.9,1800.0,1658.0,-3.9,741.0,712.0,50.0,1.5,810.0,822.0
2021A00051001370,Carbonear,12.44,769.0,377.4,-3.3,4858.0,4696.0,5.7,1982.0,2094.0,17.0,5.7,2166.0,2289.0
2021A00051001374,"Division No.  1, Subd. I",64.11,3442.0,5.0,7.0,299.0,320.0,5.7,122.0,129.0,210.0,14.7,150.0,172.0
2021A00051001375,Bryant's Cove,4.9,3370.0,70.0,-13.2,395.0,343.0,-4.1,148.0,142.0,206.0,-8.0,162.0,149.0
2021A00051001379,Harbour Grace,33.71,1099.0,82.9,-6.6,2995.0,2796.0,-2.1,1335.0,1307.0,26.0,1.0,1469.0,1483.0
2021A00051001385,Upper Island Cove,7.82,1740.0,179.2,-10.2,1561.0,1401.0,-7.9,632.0,582.0,60.0,-2.3,685.0,669.0
2021A00051001391,"Division No.  1, Subd. J",0.45,4831.0,0.0,,0.0,0.0,,0.0,0.0,366.0,,0.0,0.0
2021A00051001394,Bishop's Cove,1.9,3671.0,132.4,-12.2,287.0,252.0,-8.0,125.0,115.0,240.0,0.0,147.0,147.0
2021A00051001396,Spaniard's Bay,66.09,1149.0,39.8,-0.9,2653.0,2630.0,2.1,1089.0,1112.0,29.0,5.7,1180.0,1247.0
2021A00051001405,"Division No.  1, Subd. K",37.13,4577.0,0.9,25.0,28.0,35.0,27.3,11.0,14.0,359.0,-11.5,139.0,123.0
2021A00051001409,Bay Roberts,24.51,651.0,243.7,-0.6,6012.0,5974.0,3.2,2413.0,2490.0,14.0,5.5,2658.0,2803.0
2021A00051001415,"Division No.  1, Subd. L",8.1,2276.0,107.9,-5.8,928.0,874.0,-2.6,382.0,372.0,88.0,-4.9,487.0,463.0
2021A00051001421,"Division No.  1, Subd. M",139.98,1951.0,8.2,6.7,1073.0,1145.0,14.5,461.0,528.0,73.0,-3.8,1440.0,1385.0
2021A00051001426,North River,4.2,2752.0,137.7,1.6,570.0,579.0,7.9,242.0,261.0,132.0,11.2,286.0,318.0
2021A00051001429,Clarke's Beach,12.64,1742.0,110.7,-10.1,1558.0,1400.0,7.9,555.0,599.0,61.0,5.6,642.0,678.0
2021A00051001434,South River,5.97,2577.0,113.0,4.2,647.0,674.0,3.8,286.0,297.0,113.0,4.8,335.0,351.0
2021A00051001437,Cupids,10.86,2527.0,64.4,-5.9,743.0,699.0,4.5,311.0,325.0,107.0,17.6,364.0,428.0
2021A00051001441,"Division No.  1, Subd. N",12.85,3323.0,27.7,-4.3,372.0,356.0,6.4,157.0,167.0,198.0,-2.7,300.0,292.0
2021A00051001446,Brigus,11.48,2527.0,60.9,-3.3,723.0,699.0,3.2,317.0,327.0,107.0,13.5,446.0,506.0
2021A00051001452,"Division No.  1, Subd. O",78.38,2333.0,10.6,25.0,663.0,829.0,35.1,305.0,412.0,93.0,-6.8,1170.0,1090.0
2021A00051001456,Colliers,26.24,2690.0,23.4,-6.3,654.0,613.0,-2.9,277.0,269.0,122.0,-2.4,424.0,414.0
2021A00051001461,Conception Harbour,21.47,2672.0,29.1,-8.9,685.0,624.0,-6.0,298.0,280.0,120.0,-15.8,392.0,330.0
2021A00051001464,Avondale,29.69,2741.0,19.7,-8.9,641.0,584.0,-2.7,294.0,286.0,130.0,-7.2,373.0,346.0
2021A00051001469,Harbour Main-Chapel's Cove-Lakeview,21.19,2035.0,50.3,-0.2,1067.0,1065.0,7.1,436.0,467.0,78.0,4.1,509.0,530.0
2021A00051001472,Holyrood,126.02,1205.0,19.6,0.3,2463.0,2471.0,1.8,975.0,993.0,31.0,-1.5,1106.0,1089.0
2021A00051001485,Conception Bay South,59.72,169.0,454.9,3.7,26199.0,27168.0,7.8,9934.0,10711.0,2.0,7.7,10553.0,11364.0
2021A00051001490,"Division No.  1, Subd. R",16.82,3633.0,15.7,-18.0,322.0,264.0,-12.7,165.0,144.0,235.0,2.7,188.0,193.0
2021A00051001494,Wabana,14.49,1466.0,125.3,-15.4,2146.0,1815.0,-7.2,1025.0,951.0,46.0,2.7,1150.0,1181.0
2021A00051001504,Portugal Cove-St. Philip's,57.61,490.0,146.1,3.3,8147.0,8415.0,4.7,3028.0,3170.0,8.0,4.4,3215.0,3357.0
2021A00051001505,Pouch Cove,58.24,1355.0,35.4,-0.3,2069.0,2063.0,0.6,818.0,823.0,39.0,0.5,868.0,872.0
2021A00051001507,Flatrock,18.1,1531.0,95.1,2.3,1683.0,1722.0,4.9,608.0,638.0,48.0,5.3,641.0,675.0
2021A00051001509,Torbay,34.89,525.0,225.0,-0.6,7899.0,7852.0,4.2,2864.0,2985.0,10.0,5.9,3005.0,3182.0
2021A00051001511,Logy Bay-Middle Cove-Outer Cove,16.99,1240.0,139.1,6.4,2221.0,2364.0,10.3,804.0,887.0,32.0,13.7,827.0,940.0
2021A00051001512,Bauline,16.05,3140.0,25.7,-8.8,452.0,412.0,-1.2,163.0,161.0,178.0,-1.1,174.0,172.0
2021A00051001517,Paradise,29.67,196.0,773.8,7.3,21389.0,22957.0,9.6,8038.0,8813.0,3.0,7.7,8662.0,9331.0
2021A00051001519,St. John's,446.02,50.0,247.8,1.5,108860.0,110525.0,3.5,47627.0,49298.0,1.0,3.2,52410.0,54067.0
2021A00051001542,Mount Pearl,15.65,199.0,1436.2,-2.8,23120.0,22477.0,2.7,9673.0,9931.0,4.0,2.9,10381.0,10685.0
2021A00051001551,Petty Harbour-Maddox Cove,4.4,2182.0,215.3,-1.4,960.0,947.0,2.7,371.0,381.0,82.0,3.6,394.0,408.0
2021A00051001557,Bay Bulls,30.6,1624.0,51.2,4.4,1500.0,1566.0,5.5,566.0,597.0,55.0,7.1,589.0,631.0
2021A00051001559,Witless Bay,17.61,1572.0,93.1,1.3,1619.0,1640.0,3.7,589.0,611.0,52.0,3.5,634.0,656.0
2021A00051001565,"Division No.  1, Subd. D",298.06,4177.0,0.4,35.2,88.0,119.0,60.5,38.0,61.0,307.0,12.7,142.0,160.0
2021A00051002001,"Division No.  2, Subd. E",136.58,3678.0,1.8,2.0,246.0,251.0,11.2,107.0,119.0,242.0,4.1,296.0,308.0
2021A00051002002,Lewin's Cove,6.33,2826.0,86.3,0.4,544.0,546.0,3.9,232.0,241.0,143.0,3.2,253.0,261.0
2021A00051002005,Burin,34.49,1286.0,64.9,-3.4,2315.0,2237.0,1.9,989.0,1008.0,33.0,0.9,1145.0,1155.0
2021A00051002006,"Division No.  2, Subd. F",198.89,4260.0,0.5,-15.4,117.0,99.0,-10.6,47.0,42.0,323.0,-39.9,153.0,92.0
2021A00051002008,St. Lawrence,34.86,1983.0,32.0,-6.5,1192.0,1115.0,1.7,477.0,485.0,77.0,-0.5,601.0,598.0
2021A00051002009,"Division No.  2, Subd. G",366.98,4629.0,0.1,150.0,10.0,25.0,120.0,5.0,11.0,362.0,0.0,113.0,113.0
2021A00051002011,Lawn,3.52,2745.0,165.7,-6.6,624.0,583.0,-2.7,260.0,253.0,131.0,-2.3,298.0,291.0
2021A00051002012,Lamaline,79.75,3799.0,2.7,-18.4,267.0,218.0,-15.1,119.0,101.0,256.0,-17.6,159.0,131.0
2021A00051002013,Lord's Cove,29.91,4033.0,5.2,-4.3,162.0,155.0,1.3,78.0,79.0,292.0,17.7,96.0,113.0
2021A00051002014,Point May,63.25,3662.0,4.0,10.0,231.0,254.0,21.8,101.0,123.0,239.0,15.5,116.0,134.0
2021A00051002015,Point au Gaul,3.89,4420.0,17.2,-23.9,88.0,67.0,-8.3,36.0,33.0,342.0,2.5,40.0,41.0
2021A00051002016,"Division No.  2, Subd. H",269.35,3875.0,0.7,10.1,178.0,196.0,22.7,88.0,108.0,265.0,4.4,365.0,381.0
2021A00051002017,Frenchman's Cove,69.07,4009.0,2.3,-5.9,169.0,159.0,-2.5,80.0,78.0,290.0,-6.0,134.0,126.0
2021A00051002018,Fortune,54.77,1823.0,23.5,-8.3,1401.0,1285.0,-1.9,629.0,617.0,64.0,-1.9,782.0,767.0
2021A00051002019,Grand Bank,16.82,1320.0,127.9,-6.8,2310.0,2152.0,-1.3,1039.0,1026.0,36.0,0.3,1158.0,1162.0
2021A00051002021,Garnish,39.1,2837.0,13.9,-4.6,568.0,542.0,-1.2,246.0,243.0,145.0,4.8,292.0,306.0
2021A00051002022,"Division No.  2, Subd. D",33.17,3859.0,6.2,-9.7,226.0,204.0,-3.2,95.0,92.0,262.0,-2.5,119.0,116.0
2021A00051002023,Winterland,54.44,3184.0,7.3,2.1,390.0,398.0,3.8,160.0,166.0,185.0,17.3,191.0,224.0
2021A00051002024,Marystown,62.23,712.0,83.6,-2.1,5316.0,5204.0,5.4,2209.0,2328.0,15.0,9.5,2383.0,2609.0
2021A00051002025,Fox Cove-Mortier,25.39,3671.0,9.9,-14.6,295.0,252.0,-4.0,124.0,119.0,240.0,-4.5,155.0,148.0
2021A00051002026,"Division No.  2, Subd. I",491.98,4161.0,0.3,-9.6,136.0,123.0,1.7,59.0,60.0,305.0,40.2,107.0,150.0
2021A00051002027,Bay L'Argent,3.74,3732.0,62.6,-2.9,241.0,234.0,5.5,109.0,115.0,250.0,1.5,132.0,134.0
2021A00051002029,"Division No.  2, Subd. J",267.48,4831.0,0.0,,0.0,0.0,,0.0,0.0,366.0,,0.0,0.0
2021A00051002030,Grand Le Pierre,142.81,3949.0,1.2,-25.1,235.0,176.0,-20.0,95.0,76.0,280.0,-8.4,107.0,98.0
2021A00051002031,"Division No.  2, Subd. C",1463.65,2854.0,0.4,-4.9,566.0,538.0,-0.8,252.0,250.0,149.0,-15.3,498.0,422.0
2021A00051002033,Rushoon,5.89,3753.0,38.9,-6.5,245.0,229.0,3.6,110.0,114.0,252.0,3.1,127.0,131.0
2021A00051002034,Parkers Cove,4.77,3735.0,48.8,-6.0,248.0,233.0,0.0,103.0,103.0,251.0,2.4,127.0,130.0
2021A00051002036,Terrenceville,15.12,3056.0,29.5,-7.5,482.0,446.0,-5.4,202.0,191.0,166.0,-6.7,239.0,223.0
2021A00051002037,Red Harbour,11.19,3944.0,15.8,-6.3,189.0,177.0,-2.6,78.0,76.0,278.0,-1.2,83.0,82.0
2021A00051002039,English Harbour East,2.81,4189.0,41.7,-15.8,139.0,117.0,-15.8,57.0,48.0,311.0,-9.6,73.0,66.0
2021A00051002040,Baine Harbour,4.15,4144.0,30.4,1.6,124.0,126.0,13.5,52.0,59.0,303.0,13.1,61.0,69.0
2021A00051002041,St. Bernard's-Jacques Fontaine,16.08,3098.0,26.9,0.0,433.0,433.0,5.8,190.0,201.0,172.0,2.3,220.0,225.0
2021A00051002044,"Division No.  2, Subd. L",873.62,4588.0,0.0,,0.0,32.0,,0.0,15.0,360.0,-36.0,361.0,231.0
2021A00051002048,"Division No.  2, Subd. K",1027.96,2938.0,0.5,-10.0,558.0,502.0,3.9,258.0,268.0,158.0,2.2,447.0,457.0
2021A00051002055,Little Bay East,1.56,4330.0,53.8,-33.9,127.0,84.0,-15.7,51.0,43.0,334.0,-13.6,66.0,57.0
2021A00051003001,"Division No.  3, Subd. A",2940.14,4529.0,0.0,87.5,24.0,45.0,54.5,11.0,17.0,355.0,-79.8,109.0,22.0
2021A00051003002,Rencontre East,2.56,4198.0,44.9,-17.3,139.0,115.0,-8.0,50.0,46.0,312.0,-2.6,77.0,75.0
2021A00051003003,St. Jacques-Coomb's Cove,81.89,2826.0,6.7,-7.1,588.0,546.0,-2.0,247.0,242.0,143.0,-7.4,310.0,287.0
2021A00051003004,Belleoram,2.2,3355.0,158.4,-7.0,374.0,348.0,-6.6,152.0,142.0,202.0,-2.9,175.0,170.0
2021A00051003005,Pool's Cove,2.65,4087.0,54.1,-25.9,193.0,143.0,-19.5,77.0,62.0,298.0,-21.9,96.0,75.0
2021A00051003006,"Division No.  3, Subd. B",253.36,4831.0,0.0,,0.0,0.0,0.0,1.0,1.0,366.0,-56.9,58.0,25.0
2021A00051003008,Harbour Breton,13.82,1677.0,106.9,-9.6,1634.0,1477.0,-4.0,658.0,632.0,58.0,-0.6,703.0,699.0
2021A00051003009,"Division No.  3, Subd. C",711.65,4075.0,0.2,,0.0,146.0,,0.0,69.0,296.0,,0.0,174.0
2021A00051003010,Seal Cove (Fortune Bay),2.03,4252.0,49.3,-58.7,242.0,100.0,-53.3,105.0,49.0,320.0,-50.7,134.0,66.0
2021A00051003011,Hermitage-Sandyville,29.14,3167.0,13.9,-4.3,422.0,404.0,1.1,187.0,189.0,182.0,0.9,217.0,219.0
2021A00051003012,Gaultois,4.23,4252.0,23.7,-26.5,136.0,100.0,-21.1,57.0,45.0,320.0,-27.5,102.0,74.0
2021A00051003014,"Division No.  3, Subd. D",6611.07,3895.0,0.0,-28.2,262.0,188.0,-22.8,123.0,95.0,268.0,-0.2,529.0,528.0
2021A00051003018,Milltown-Head of Bay d'Espoir,24.95,2590.0,26.8,-10.7,749.0,669.0,-6.2,341.0,320.0,114.0,-6.0,381.0,358.0
2021A00051003019,St. Alban's,20.48,1909.0,58.0,0.3,1186.0,1189.0,5.3,532.0,560.0,69.0,7.6,604.0,650.0
2021A00051003020,Morrisville,14.09,4292.0,6.6,-7.9,101.0,93.0,0.0,43.0,43.0,329.0,-8.0,50.0,46.0
2021A00051003021,"Division No.  3, Subd. E",2468.1,4387.0,0.0,-16.9,89.0,74.0,-5.6,36.0,34.0,339.0,51.9,81.0,123.0
2021A00051003024,"Division No.  3, Subd. F",2548.59,4198.0,0.0,-3.4,119.0,115.0,-1.9,53.0,52.0,312.0,30.3,188.0,245.0
2021A00051003026,Ramea,1.86,3213.0,208.9,-13.2,447.0,388.0,-4.6,216.0,206.0,187.0,-25.3,277.0,207.0
2021A00051003028,Burgeo,29.51,1926.0,39.9,-10.0,1307.0,1176.0,-7.2,615.0,571.0,71.0,0.8,655.0,660.0
2021A00051003031,"Division No.  3, Subd. H",665.06,2792.0,0.8,-20.5,707.0,562.0,-16.5,291.0,243.0,138.0,-4.2,313.0,300.0
2021A00051003032,Isle aux Morts,7.75,2800.0,72.1,-15.8,664.0,559.0,-11.0,290.0,258.0,141.0,-11.8,331.0,292.0
2021A00051003033,Burnt Islands,9.48,2848.0,57.0,-13.2,622.0,540.0,-2.9,242.0,235.0,147.0,-2.3,257.0,251.0
2021A00051003034,Channel-Port aux Basques,38.84,924.0,91.3,-12.8,4067.0,3547.0,-10.8,1851.0,1652.0,18.0,-7.2,1954.0,1814.0
2021A00051003038,"Division No.  3, Subd. I",2121.16,4451.0,0.0,-29.9,87.0,61.0,-19.5,41.0,33.0,344.0,-11.3,53.0,47.0
2021A00051003042,"Division No.  3, Subd. J",646.31,4566.0,0.1,-25.5,51.0,38.0,-19.2,26.0,21.0,357.0,-3.7,27.0,26.0
2021A00051003045,Rose Blanche-Harbour le Cou,4.49,3365.0,76.7,-12.7,394.0,344.0,-12.7,197.0,172.0,205.0,-4.1,266.0,255.0
2021A00051003801,Samiajij Miawpukek,16.7,2174.0,57.1,-0.3,956.0,953.0,6.6,331.0,353.0,81.0,4.7,342.0,358.0
2021A00051004001,"Division No.  4, Subd. A",1204.46,1646.0,1.3,-12.2,1743.0,1530.0,-7.3,809.0,750.0,57.0,-26.0,1407.0,1041.0
2021A00051004006,"Division No.  4, Subd. B",1809.34,1959.0,0.6,-2.9,1174.0,1140.0,-4.1,580.0,556.0,74.0,-33.1,948.0,634.0
2021A00051004011,"Division No.  4, Subd. C",2365.45,2730.0,0.2,-20.9,747.0,591.0,-12.5,345.0,302.0,128.0,-7.6,490.0,453.0
2021A00051004013,St. George's,25.71,1962.0,44.3,-5.3,1203.0,1139.0,0.4,541.0,543.0,75.0,2.3,597.0,611.0
2021A00051004016,"Division No.  4, Subd. D",1148.81,1881.0,1.1,40.9,860.0,1212.0,56.3,382.0,597.0,67.0,53.3,646.0,990.0
2021A00051004017,Gallants,6.33,4507.0,7.9,0.0,50.0,50.0,6.5,31.0,33.0,352.0,77.8,72.0,128.0
2021A00051004018,Stephenville Crossing,31.07,1578.0,52.6,-4.9,1719.0,1634.0,-3.0,774.0,751.0,53.0,-0.8,833.0,826.0
2021A00051004019,Stephenville,35.27,611.0,185.4,-1.3,6623.0,6540.0,1.9,3129.0,3188.0,13.0,1.4,3366.0,3412.0
2021A00051004020,Kippens,14.24,1449.0,129.4,-8.3,2008.0,1842.0,-5.0,800.0,760.0,44.0,-4.0,832.0,799.0
2021A00051004021,Port au Port East,25.06,3136.0,16.5,-28.7,579.0,413.0,-25.8,267.0,198.0,177.0,-23.1,286.0,220.0
2021A00051004022,"Division No.  4, Subd. E",295.42,1687.0,5.0,-25.0,1957.0,1467.0,-21.7,906.0,709.0,59.0,-15.9,1027.0,864.0
2021A00051004033,Cape St. George,34.47,2354.0,23.5,-5.2,853.0,809.0,1.3,375.0,380.0,95.0,5.6,410.0,433.0
2021A00051004037,Lourdes,7.39,2938.0,68.0,8.0,465.0,502.0,5.6,215.0,227.0,158.0,12.8,234.0,264.0
2021A00051004042,Port au Port West-Aguathuna-Felix Cove,16.97,3226.0,22.6,-14.5,449.0,384.0,-4.7,212.0,202.0,189.0,1.4,222.0,225.0
2021A00051005001,"Division No.  5, Subd. A",2412.93,3539.0,0.1,5.4,276.0,291.0,21.7,115.0,140.0,225.0,-13.8,407.0,351.0
2021A00051005003,"Division No.  5, Subd. G",3409.22,3128.0,0.1,-11.5,468.0,414.0,-8.9,224.0,204.0,175.0,-7.6,459.0,424.0
2021A00051005004,Deer Lake,73.26,752.0,66.4,-7.3,5249.0,4864.0,-1.2,2164.0,2139.0,16.0,0.4,2300.0,2309.0
2021A00051005005,Jackson's Arm,7.07,3592.0,39.2,-2.5,284.0,277.0,-2.3,128.0,125.0,231.0,-1.7,172.0,169.0
2021A00051005006,Howley,19.91,3935.0,9.0,-12.7,205.0,179.0,-11.1,108.0,96.0,277.0,10.7,122.0,135.0
2021A00051005007,"Division No.  5, Subd. E",1167.5,3895.0,0.2,-13.0,216.0,188.0,-8.2,110.0,101.0,268.0,24.2,297.0,369.0
2021A00051005008,Hampden,32.99,3081.0,13.3,2.3,429.0,439.0,12.0,175.0,196.0,169.0,-0.5,218.0,217.0
2021A00051005009,Reidville,58.28,2812.0,9.4,8.1,509.0,550.0,16.6,199.0,232.0,142.0,18.3,219.0,259.0
2021A00051005010,"Division No.  5, Subd. F",823.72,2445.0,0.9,-9.4,823.0,746.0,-7.0,330.0,307.0,99.0,-30.0,687.0,481.0
2021A00051005011,Steady Brook,1.24,3123.0,335.2,-6.3,444.0,416.0,-2.2,182.0,178.0,174.0,-4.4,204.0,195.0
2021A00051005012,Pasadena,49.17,930.0,71.7,-2.7,3620.0,3524.0,0.9,1480.0,1494.0,19.0,1.0,1582.0,1598.0
2021A00051005014,Cormack,133.65,2957.0,3.7,-17.6,597.0,492.0,-16.9,248.0,206.0,162.0,-20.1,288.0,230.0
2021A00051005015,Gillams,6.72,2929.0,75.3,23.4,410.0,506.0,28.3,166.0,213.0,157.0,18.9,190.0,226.0
2021A00051005016,"Division No.  5, Subd. C",483.5,3556.0,0.6,3.3,276.0,285.0,1.6,128.0,130.0,227.0,10.9,404.0,448.0
2021A00051005017,Massey Drive,2.45,1594.0,655.1,-1.6,1632.0,1606.0,2.6,610.0,626.0,54.0,7.4,624.0,670.0
2021A00051005018,Corner Brook,147.88,237.0,130.7,-2.4,19806.0,19333.0,1.2,8764.0,8868.0,5.0,1.7,9395.0,9552.0
