DGUID,GEO,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021"
2021A00053557008,St. Joseph,127.65,1714.0,11.2,15.0,1240.0,1426.0,11.3,550.0,612.0,330.0,6.6,853.0,909.0
2021A00053557011,Laird,103.25,1977.0,10.9,7.1,1047.0,1121.0,10.6,425.0,470.0,344.0,6.3,527.0,560.0
2021A00053557014,Tarbutt and Tarbutt Additional,52.79,2773.0,10.9,7.3,534.0,573.0,10.6,216.0,239.0,417.0,-0.5,400.0,398.0
2021A00053557016,Johnson,119.47,2441.0,6.3,-0.3,751.0,749.0,-2.9,280.0,272.0,388.0,-19.0,521.0,422.0
2021A00053557019,Plummer Additional,219.24,2430.0,3.5,14.7,660.0,757.0,16.3,282.0,328.0,384.0,0.8,515.0,519.0
2021A00053557021,Bruce Mines,6.09,2747.0,95.6,0.0,582.0,582.0,-1.9,268.0,263.0,412.0,-2.0,299.0,293.0
2021A00053557026,Thessalon 12,9.57,4053.0,15.8,21.8,124.0,151.0,1.7,58.0,59.0,509.0,12.7,63.0,71.0
2021A00053557028,Thessalon,4.38,1840.0,287.5,-2.0,1286.0,1260.0,-0.9,564.0,559.0,336.0,-3.8,624.0,600.0
2021A00053557035,Huron Shores,451.87,1437.0,4.1,11.8,1664.0,1860.0,11.8,746.0,834.0,313.0,-6.5,1253.0,1171.0
2021A00053557038,Blind River,513.98,947.0,6.7,-1.4,3472.0,3422.0,0.8,1587.0,1600.0,264.0,-0.5,2219.0,2207.0
2021A00053557039,Spanish,106.9,2589.0,6.3,-5.9,712.0,670.0,-3.9,335.0,322.0,399.0,-10.3,437.0,392.0
2021A00053557040,The North Shore,230.17,2866.0,2.3,6.8,497.0,531.0,4.6,238.0,249.0,422.0,-0.5,367.0,365.0
2021A00053557041,Elliot Lake,696.06,378.0,16.3,5.9,10741.0,11372.0,5.9,5514.0,5839.0,133.0,0.3,6259.0,6275.0
2021A00053557051,"Macdonald, Meredith and Aberdeen Additional",163.26,1658.0,9.3,-6.0,1609.0,1513.0,-8.2,657.0,603.0,324.0,-6.6,860.0,803.0
2021A00053557061,Sault Ste. Marie,221.99,82.0,324.6,-1.8,73368.0,72051.0,-0.3,32634.0,32530.0,35.0,1.0,34485.0,34818.0
2021A00053557066,Prince,84.98,2139.0,11.5,-3.5,1010.0,975.0,-2.2,403.0,394.0,362.0,0.7,459.0,462.0
2021A00053557071,Sagamok,96.83,1987.0,11.5,-2.6,1140.0,1110.0,0.5,383.0,385.0,345.0,1.7,401.0,408.0
2021A00053557072,Serpent River 7,76.14,3339.0,4.6,-5.4,371.0,351.0,3.6,140.0,145.0,460.0,-3.8,157.0,151.0
2021A00053557073,Mississagi River 8,18.26,3128.0,22.7,0.7,411.0,414.0,-2.8,178.0,173.0,441.0,-4.9,185.0,176.0
2021A00053557074,Garden River 14,213.71,2029.0,5.0,-4.8,1125.0,1071.0,1.9,411.0,419.0,349.0,4.6,438.0,458.0
2021A00053557075,Rankin Location 15D,15.39,,,,,,,,,,,,
2021A00053557076,Wawa,411.89,1130.0,6.6,-6.9,2905.0,2705.0,-5.2,1279.0,1213.0,288.0,-5.1,1451.0,1377.0
2021A00053557077,Goulais Bay 15A,6.71,,,,,,,,,,,,
2021A00053557078,Gros Cap 49,34.12,4443.0,1.8,-18.2,77.0,63.0,-5.4,37.0,35.0,534.0,0.0,38.0,38.0
2021A00053557079,Dubreuilville,87.53,2766.0,6.6,-6.0,613.0,576.0,0.0,248.0,248.0,416.0,-8.4,310.0,284.0
2021A00053557091,White River,95.55,2803.0,5.8,-13.6,645.0,557.0,-10.6,302.0,270.0,418.0,-19.0,411.0,333.0
2021A00053557092,Obadjiwan 15E,0.71,,,,0.0,,,0.0,,,,0.0,
2021A00053557094,"Algoma, Unorganized, South East Part",43.17,4760.0,0.1,,0.0,5.0,0.0,1.0,1.0,548.0,-75.0,4.0,1.0
2021A00053557095,"Algoma, Unorganized, North Part",43618.95,645.0,0.1,5.4,5739.0,6050.0,8.9,2546.0,2773.0,214.0,-8.6,5489.0,5019.0
2021A00053557096,Hornepayne,203.04,2147.0,4.8,-1.2,980.0,968.0,7.6,408.0,439.0,365.0,0.2,514.0,515.0
2021A00053558001,Neebing,873.78,1284.0,2.6,9.1,2055.0,2241.0,12.1,840.0,942.0,302.0,3.5,1164.0,1205.0
2021A00053558003,Fort William 52,58.5,2155.0,16.5,-1.7,981.0,964.0,5.2,343.0,361.0,366.0,4.3,375.0,391.0
2021A00053558004,Thunder Bay,327.77,51.0,332.1,0.9,107909.0,108843.0,2.6,47182.0,48405.0,25.0,1.2,50388.0,50995.0
2021A00053558011,Oliver Paipoonge,350.51,646.0,17.2,1.9,5922.0,6035.0,3.8,2239.0,2323.0,215.0,4.4,2289.0,2390.0
2021A00053558012,Gillies,92.68,3071.0,4.8,-7.0,474.0,441.0,0.5,185.0,186.0,438.0,3.5,201.0,208.0
2021A00053558016,O'Connor,108.56,2544.0,6.3,3.9,663.0,689.0,4.6,262.0,274.0,396.0,4.0,272.0,283.0
2021A00053558019,Conmee,167.65,2374.0,4.8,-2.6,819.0,798.0,-0.7,298.0,296.0,379.0,-3.1,327.0,317.0
2021A00053558028,Shuniah,571.34,988.0,5.7,16.0,2798.0,3247.0,19.1,1196.0,1425.0,267.0,-2.0,2130.0,2088.0
2021A00053558034,Dorion,211.25,3260.0,1.8,18.7,316.0,375.0,25.0,128.0,160.0,452.0,1.1,174.0,176.0
2021A00053558041,Red Rock,62.1,2251.0,14.4,0.0,895.0,895.0,6.8,381.0,407.0,375.0,2.5,444.0,455.0
2021A00053558044,Nipigon,107.94,1683.0,13.6,-10.3,1642.0,1473.0,-8.0,721.0,663.0,327.0,-7.1,804.0,747.0
2021A00053558051,Schreiber,35.81,2064.0,29.0,-1.9,1059.0,1039.0,3.2,500.0,516.0,352.0,-2.5,628.0,612.0
2021A00053558054,Terrace Bay,151.5,1647.0,10.1,-5.2,1611.0,1528.0,-4.0,743.0,713.0,323.0,-3.4,821.0,793.0
2021A00053558059,Marathon,167.03,1007.0,18.8,-4.1,3273.0,3138.0,-2.3,1445.0,1412.0,271.0,-2.5,1643.0,1602.0
2021A00053558060,Pic Mobert North,1.67,4109.0,82.5,-29.9,197.0,138.0,-12.9,62.0,54.0,511.0,-7.6,66.0,61.0
2021A00053558061,Pic Mobert South,0.32,4139.0,401.6,1.6,125.0,127.0,-5.9,51.0,48.0,516.0,7.5,53.0,57.0
2021A00053558062,Pic River 50,4.03,3272.0,92.3,-16.0,443.0,372.0,-15.1,166.0,141.0,455.0,-7.3,177.0,164.0
2021A00053558063,Pays Plat 51,2.03,4252.0,49.3,12.4,89.0,100.0,5.9,34.0,36.0,527.0,5.7,35.0,37.0
